k,lhs,rhs
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30001e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
2.30002e+00, -nan, -nan 
